"error_severity","event_message","id","identifier","timestamp"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","5030945d-4436-4307-b110-684322f3d2b9","vjhrmizwqhmafkxbmfwa","1743133897623000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","b336d616-5242-444b-bf93-40b007b1992a","vjhrmizwqhmafkxbmfwa","1743133897588000"
"LOG","connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","0283b3af-4de8-48a0-9b2c-7443e1d82918","vjhrmizwqhmafkxbmfwa","1743133897588000"
"LOG","connection received: host=2600:1f18:2a66:6e00:b37d:6bf5:4747:2dec port=45598","7dba1c55-7995-4957-a89a-0f260d1b65ce","vjhrmizwqhmafkxbmfwa","1743133897579000"
"LOG","connection received: host=2600:1f18:2a66:6e00:b37d:6bf5:4747:2dec port=45590","96fe1d2c-1882-466f-b702-98226b8eb8fa","vjhrmizwqhmafkxbmfwa","1743133897578000"
"LOG","connection received: host=2600:1f18:2a66:6e01:aa4:907f:bed2:ae10 port=50326","1a87b0be-f39e-42eb-b661-b64939bcfb1e","vjhrmizwqhmafkxbmfwa","1743133897573000"
"LOG","connection received: host=2600:1f18:2a66:6e01:aa4:907f:bed2:ae10 port=50320","419f3a4f-5c3d-4486-90b0-b5ef04a512fd","vjhrmizwqhmafkxbmfwa","1743133897573000"
"LOG","connection received: host=2600:1f18:2a66:6e01:aa4:907f:bed2:ae10 port=50308","ee407868-bf8b-48d3-9ed0-b8216aa78162","vjhrmizwqhmafkxbmfwa","1743133897571000"
"LOG","connection received: host=2600:1f18:2a66:6e01:3dd4:e1d7:b147:81a8 port=49888","938d7cf0-83f6-4965-ba56-8a6a03f9bf3b","vjhrmizwqhmafkxbmfwa","1743133897565000"
"LOG","connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","2d78ee59-1145-4497-923a-3cf1d5d90870","vjhrmizwqhmafkxbmfwa","1743133887627000"
